method,display_name,verification_mode,queries,silver_citation_precision_macro_answered,silver_citation_f1_macro_answerable,answerable_answer_rate,unanswerable_abstention_rate,strict_contract_rate,model_calls_mean,generation_pipeline_ms_mean,generation_pipeline_ms_p95
A0_full_k3_direct_render,Top-K + deterministic guard,direct_render,40,0.7352941176470589,0.46314297232657714,1.0,0.6666666666666666,1.0,0.0,0.07389322499999999,0.0989352
A1_full_k3_stage1_only,Stage 1 mask + deterministic guard,stage1_only,40,0.8181818181818182,0.36983278159748745,0.9705882352941176,1.0,1.0,0.9,301.95914482626364,436.27625166324833
A2_full_k3_stage1_review,Stage 1 + recall review + deterministic guard,stage1_plus_review,40,0.7990196078431373,0.4263008233596469,1.0,1.0,1.0,1.8,502.8258802992129,872.6376791494915
