method_id,method_name_zh,assertion_count,retention_from_b0,claim_count,entity_count,document_count,source_family_count,fault_class_count,schema_pass_rate,evidence_grounding_pass_rate,entailment_pass_rate,provenance_split_pass_rate,score_pass_rate,chinese_release_pass_rate
B0,固定候选扁平接受,8003,1.0,7651,9149,15,10,10,0.838561,0.371236,0.229164,1.0,0.228039,0.02599
B1,Schema约束,6711,0.838561,6384,7726,15,10,10,1.0,0.373268,0.253911,1.0,0.253017,0.030994
B2,结构证据门控,2505,0.313008,2424,3712,15,10,10,1.0,1.0,0.68024,1.0,0.677844,0.083034
B3,可追溯Silver治理,1698,0.21217,1650,2613,15,10,10,1.0,1.0,1.0,1.0,1.0,0.122497
Ours,来源族与中文双门控,208,0.02599,203,281,14,10,10,1.0,1.0,1.0,1.0,1.0,1.0
