metric,cluster_unit,method_id,estimate,ci_lower,ci_upper,confidence_level,replicates,seed
retention_from_b0,document,B0,1.0,1.0,1.0,0.95,2000,20260730
retention_from_b0,document,B1,0.838561,0.80873,0.882299,0.95,2000,20260730
retention_from_b0,document,B2,0.313008,0.208654,0.404474,0.95,2000,20260730
retention_from_b0,document,B3,0.21217,0.149323,0.276385,0.95,2000,20260730
retention_from_b0,document,Ours,0.02599,0.015049,0.043449,0.95,2000,20260730
traceable_structure_answerability,fault_class,,0.85,0.725,0.975,0.95,2000,20260731
