method_id,method,budget_k,group,role_filter,graph_expansion,fault_affinity,source_novelty,queries,answerable_queries,unanswerable_queries,source_family_coverage_mean,exact_claim_redundancy_mean,retrieval_recall_macro,retrieval_recall_macro_ci_low,retrieval_recall_macro_ci_high,retrieval_ndcg_macro,retrieval_ndcg_macro_ci_low,retrieval_ndcg_macro_ci_high,citation_precision_macro,citation_precision_macro_ci_low,citation_precision_macro_ci_high,citation_recall_macro,citation_recall_macro_ci_low,citation_recall_macro_ci_high,citation_f1_macro,citation_f1_macro_ci_low,citation_f1_macro_ci_high,answer_precision,answer_precision_ci_low,answer_precision_ci_high,answer_recall,answer_recall_ci_low,answer_recall_ci_high,abstention_precision,abstention_precision_ci_low,abstention_precision_ci_high,abstention_recall,abstention_recall_ci_low,abstention_recall_ci_high,model_calls_mean,model_calls_p95,prompt_tokens_mean,prompt_tokens_p95,generated_tokens_mean,generated_tokens_p95,end_to_end_latency_ms_mean,end_to_end_latency_ms_p50,end_to_end_latency_ms_p95
B1_dense_k3_equal,Dense K3,3,equal_budget_main,False,False,False,False,2,2,0,2.0,0.0,0.309524,0.309524,0.309524,0.648041,0.648041,0.648041,1.0,1.0,1.0,0.309524,0.309524,0.309524,0.472222,0.472222,0.472222,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,707.0,717.8,16.0,16.0,596.101,596.101,597.108
B4_role_k3_equal,Role K3,3,equal_budget_main,True,False,False,False,2,2,0,2.5,0.0,0.464286,0.464286,0.464286,1.0,1.0,1.0,1.0,1.0,1.0,0.464286,0.464286,0.464286,0.633333,0.633333,0.633333,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,402.5,429.05,10.0,10.0,426.301,426.301,465.451
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,True,True,False,False,2,2,0,2.5,0.0,0.464286,0.464286,0.464286,1.0,1.0,1.0,1.0,1.0,1.0,0.464286,0.464286,0.464286,0.633333,0.633333,0.633333,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,402.5,429.05,10.0,10.0,377.887,377.887,382.955
Ours_v6_k3_equal,Full K3,3,equal_budget_main,True,True,True,True,2,2,0,3.0,0.0,0.464286,0.464286,0.464286,1.0,1.0,1.0,1.0,1.0,1.0,0.464286,0.464286,0.464286,0.633333,0.633333,0.633333,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.5,1.95,529.5,617.25,13.0,15.7,485.94,485.94,581.562
