method_id,method,budget_k,group,role_filter,graph_expansion,fault_affinity,source_novelty,queries,answerable_queries,unanswerable_queries,source_family_coverage_mean,exact_claim_redundancy_mean,retrieval_recall_macro,retrieval_recall_macro_ci_low,retrieval_recall_macro_ci_high,retrieval_ndcg_macro,retrieval_ndcg_macro_ci_low,retrieval_ndcg_macro_ci_high,citation_precision_macro,citation_precision_macro_ci_low,citation_precision_macro_ci_high,citation_recall_macro,citation_recall_macro_ci_low,citation_recall_macro_ci_high,citation_f1_macro,citation_f1_macro_ci_low,citation_f1_macro_ci_high,answer_precision,answer_precision_ci_low,answer_precision_ci_high,answer_recall,answer_recall_ci_low,answer_recall_ci_high,abstention_precision,abstention_precision_ci_low,abstention_precision_ci_high,abstention_recall,abstention_recall_ci_low,abstention_recall_ci_high,model_calls_mean,model_calls_p95,prompt_tokens_mean,prompt_tokens_p95,generated_tokens_mean,generated_tokens_p95,end_to_end_latency_ms_mean,end_to_end_latency_ms_p50,end_to_end_latency_ms_p95
B1_dense_k3_equal,Dense K3,3,equal_budget_main,False,False,False,False,40,34,6,2.025,0.0,0.218492,0.111867,0.334795,0.405695,0.270714,0.545855,0.573529,0.333333,0.816667,0.197239,0.088231,0.31698,0.259082,0.127319,0.398308,1.0,1.0,1.0,0.676471,0.487179,0.857143,0.352941,0.083333,0.692308,1.0,1.0,1.0,2.95,4.0,1066.675,1669.2,21.7,28.0,839.415,806.807,1113.116
B4_role_k3_equal,Role K3,3,equal_budget_main,True,False,False,False,40,34,6,2.025,0.0,0.378086,0.289909,0.469893,0.677746,0.489563,0.839643,0.720588,0.486101,0.946429,0.299322,0.188659,0.41016,0.372402,0.239812,0.500681,1.0,1.0,1.0,0.852941,0.705803,1.0,0.545455,0.153846,1.0,1.0,1.0,1.0,2.775,4.0,991.375,1357.9,20.45,28.0,782.135,803.583,1109.579
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,True,True,False,False,40,34,6,2.025,0.0,0.404872,0.314321,0.494996,0.715866,0.548393,0.869947,0.75,0.554054,0.946429,0.301976,0.192804,0.412103,0.377336,0.251929,0.502073,1.0,1.0,1.0,0.882353,0.763158,1.0,0.6,0.181818,1.0,1.0,1.0,1.0,2.8,4.0,1006.175,1376.6,20.7,28.0,805.53,819.881,1101.552
Ours_v6_k3_equal,Full K3,3,equal_budget_main,True,True,True,True,40,34,6,2.0,0.0,0.431209,0.355111,0.526174,0.822277,0.716834,0.918637,0.79902,0.657895,0.925926,0.370478,0.25351,0.498945,0.426301,0.309515,0.544486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.0,634.725,1107.9,13.5,22.0,531.227,589.478,892.455
