method,queries,parent_queries,fault_classes,answerable_queries,recall_macro,ndcg_macro,selection_jaccard_vs_parent_mean,top1_agreement_vs_parent_rate
A2_role_graph_k3_equal,80,40,10,68,0.33828505086245025,0.6449591785162113,0.5404166666666667,0.6375
B1_dense_k3_equal,80,40,10,68,0.20164289399970514,0.42676366571679997,0.48125,0.5625
B4_role_k3_equal,80,40,10,68,0.32743070912575556,0.6170315867237675,0.5491666666666666,0.6
Ours_v6_k3_equal,80,40,10,68,0.3830440070765148,0.7370924184746032,0.7424999999999999,0.725
