method,evaluated_answerable_queries,latency_samples,recall_at_budget_macro,mrr,ndcg_at_budget_macro,mean_source_family_coverage,mean_exact_claim_redundancy,latency_ms_p50,latency_ms_p95,mean_scored_candidates,mean_selected_evidence,mean_visited_evidence,mean_visited_nodes,mean_visited_edges,timeout_count
adaptive_prune,34,1200,0.31954426507445083,0.7205882352941176,0.5707168886888176,2.4705882352941178,0.007352941176470588,3.00615,4.05131,5.375,4.0,5.375,20.6,1027.9,0
fixed_hop,34,1200,0.26194622585876454,0.6470588235294118,0.579588167196165,1.1176470588235294,0.007352941176470588,2.16065,3.153365,3.775,1.9,3.775,17.0,21.4,0
metapath_topk,34,1200,0.4698151629072682,0.8627450980392156,0.6739635182746618,2.5,0.03676470588235294,0.6568,1.2687799999999996,13.15,3.7,13.3,0.0,0.0,0
ours,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.80215,1.54886,13.15,3.65,13.3,0.0,0.0,0
ours_no_index,34,1200,0.35187048503611973,0.8137254901960784,0.5348561064790741,4.0,0.0,1.68,2.05632,27.75,4.0,41.5,0.0,0.0,0
ours_no_redundancy,34,1200,0.4676516659295297,0.857843137254902,0.6672881952417982,3.5,0.0,0.808,1.548365,13.15,3.65,13.3,0.0,0.0,0
ours_no_role_gate,34,1200,0.46127911690992185,0.857843137254902,0.6478487391164673,3.7058823529411766,0.0,1.26235,1.83822,22.725,4.0,24.25,0.0,0.0,0
ours_no_source_family,34,1200,0.46964009287925695,0.8627450980392156,0.6588826375481354,2.764705882352941,0.0,0.7896000000000001,1.483545,13.15,3.7,13.3,0.0,0.0,0
