precision,subset,rows,scenarios,exact_including_empty,nonempty_exact_success,pointer_f1,support_f1,support_ap,support_ece,requested_cardinality_accuracy,controller_p50_ms,controller_p95_ms
fp32,train_all,32,8,16,11,0.5302083333333333,0.7627118644067797,0.8327678538505918,0.0747215735852419,0.71875,1.414655,1.6002828
fp32,train_original,32,8,16,11,0.5302083333333333,0.7627118644067797,0.8327678538505918,0.0747215735852419,0.71875,1.414655,1.6002828
fp32,validation_all,8,2,1,1,0.35,0.7083333333333333,0.6646111795840898,0.13270989741597855,0.25,1.4002045,1.4364394999999999
fp32,validation_original,8,2,1,1,0.35,0.7083333333333333,0.6646111795840898,0.13270989741597855,0.25,1.4002045,1.4364394999999999
int8,train_all,32,8,16,11,0.5197916666666667,0.75,0.8272040595739413,0.07752975701686725,0.71875,1.7583905,1.77752975
int8,train_original,32,8,16,11,0.5197916666666667,0.75,0.8272040595739413,0.07752975701686725,0.71875,1.7583905,1.77752975
int8,validation_all,8,2,1,1,0.35,0.7083333333333333,0.6674957949687051,0.13076713085174563,0.25,1.7621375,1.79709495
int8,validation_original,8,2,1,1,0.35,0.7083333333333333,0.6674957949687051,0.13076713085174563,0.25,1.7621375,1.79709495
