Method,Recall@4,MRR,NDCG@4,Source_families,Exact_redundancy,p95_retrieval_ms,Scored_candidates
Fixed-hop diffusion,0.261946,0.647059,0.579588,1.117647,0.007353,3.153365,3.775
Adaptive pruning,0.319544,0.720588,0.570717,2.470588,0.007353,4.05131,5.375
Role/metapath top-K,0.469815,0.862745,0.673964,2.5,0.036765,1.26878,13.15
Ours w/o candidate index,0.35187,0.813725,0.534856,4.0,0.0,2.05632,27.75
Ours w/o role gate,0.461279,0.857843,0.647849,3.705882,0.0,1.83822,22.725
Ours w/o source-family cap,0.46964,0.862745,0.658883,2.764706,0.0,1.483545,13.15
Ours w/o redundancy control,0.467652,0.857843,0.667288,3.5,0.0,1.548365,13.15
Ours (complete),0.466181,0.857843,0.659552,3.5,0.0,1.54886,13.15
