arm,seed,best_epoch,subset,rows,raw_zero_n,nonempty_n,raw_cardinality_accuracy,decoded_cardinality_accuracy,pointer_f1,empty_false_n,empty_n,hard_false_n,hard_n,unavailable_false_n,unavailable_n,raw_contract_violation_rate,violation_mass
W1,7042029,2,train_all,129,0,92,0.7751937984496124,0.5503875968992248,0.2560723514211886,0,37,0,5,0,32,0.4573643410852713,0.3263339717951856
W1,7042029,2,train_original,32,0,27,0.8125,0.4375,0.2791666666666667,0,5,0,1,0,4,0.5625,0.416949353646487
W1,7042029,2,train_derived,97,0,65,0.7628865979381443,0.5876288659793815,0.24845360824742269,0,32,0,4,0,28,0.422680412371134,0.2964402375761996
W1,7042029,2,validation_all,36,0,24,0.5277777777777778,0.4166666666666667,0.1148148148148148,0,12,0,4,0,8,0.7222222222222222,0.47751866198248333
W1,7042029,2,validation_original,8,0,7,0.625,0.25,0.225,0,1,0,1,0,0,1.0,0.6191672440618277
W1,7042029,2,validation_derived,28,0,17,0.5,0.4642857142857143,0.08333333333333333,0,11,0,3,0,8,0.6428571428571429,0.4370476385312421
J1,7042029,2,train_all,129,0,92,0.7906976744186046,0.5658914728682171,0.2571059431524548,0,37,0,5,0,32,0.43410852713178294,0.29924755503040873
J1,7042029,2,train_original,32,0,27,0.84375,0.4375,0.28229166666666666,0,5,0,1,0,4,0.53125,0.3882795926183462
J1,7042029,2,train_derived,97,0,65,0.7731958762886598,0.6082474226804123,0.24879725085910653,0,32,0,4,0,28,0.4020618556701031,0.26987616118696545
J1,7042029,2,validation_all,36,0,24,0.5555555555555556,0.4166666666666667,0.1148148148148148,0,12,0,4,0,8,0.7222222222222222,0.45124204374021953
J1,7042029,2,validation_original,8,0,7,0.625,0.25,0.225,0,1,0,1,0,0,1.0,0.5878595970571041
J1,7042029,2,validation_derived,28,0,17,0.5357142857142857,0.4642857142857143,0.08333333333333333,0,11,0,3,0,8,0.6428571428571429,0.41220845707825254
