arm,precision,subset,policy,local_answer_coverage,local_teacher_disagreement,fallback_rate,abstain_rate,replayed_teacher_calls,teacher_call_avoidance_fraction,replayed_final_answer_coverage,mean_declared_utility_cost,mean_route_regret
M0,fp32,train_all,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,2.8217054263565893
M0,fp32,train_all,R3_confidence,0.03875968992248062,0.0,0.9612403100775194,0.0,124,0.03875968992248058,0.7131782945736435,23.031007751937985,13.852713178294573
M0,fp32,train_all,R3_entropy,0.0,,1.0,0.0,129,0.0,0.7131782945736435,23.34108527131783,14.162790697674419
M0,fp32,train_all,cost_sensitive_route,0.0,,0.0,1.0,0,1.0,0.0,12.0,2.8217054263565893
M0,fp32,train_derived,R0_always_local,0.16494845360824742,0.5,0.0,0.8350515463917526,0,1.0,0.16494845360824742,14.309278350515465,4.979381443298969
M0,fp32,train_derived,R1_always_teacher,0.0,,1.0,0.0,97,0.0,0.6701030927835051,25.49484536082474,16.164948453608247
M0,fp32,train_derived,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,2.670103092783505
M0,fp32,train_derived,R3_confidence,0.041237113402061855,0.0,0.9587628865979382,0.0,93,0.04123711340206182,0.6701030927835051,25.164948453608247,15.835051546391753
M0,fp32,train_derived,R3_entropy,0.0,,1.0,0.0,97,0.0,0.6701030927835051,25.49484536082474,16.164948453608247
M0,fp32,train_derived,cost_sensitive_route,0.0,,0.0,1.0,0,1.0,0.0,12.0,2.670103092783505
M0,fp32,train_original,R0_always_local,0.125,0.25,0.0,0.875,0,1.0,0.125,12.1875,3.46875
M0,fp32,train_original,R1_always_teacher,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,8.09375
M0,fp32,train_original,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,3.28125
M0,fp32,train_original,R3_confidence,0.03125,0.0,0.96875,0.0,31,0.03125,0.84375,16.5625,7.84375
M0,fp32,train_original,R3_entropy,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,8.09375
M0,fp32,train_original,cost_sensitive_route,0.0,,0.0,1.0,0,1.0,0.0,12.0,3.28125
M0,fp32,validation_all,R0_always_local,0.0,,0.0,1.0,0,1.0,0.0,12.0,2.0
M0,fp32,validation_all,R1_always_teacher,0.0,,1.0,0.0,36,0.0,0.6666666666666666,25.666666666666668,15.666666666666666
M0,fp32,validation_all,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,2.0
M0,fp32,validation_all,R3_confidence,0.0,,1.0,0.0,36,0.0,0.6666666666666666,25.666666666666668,15.666666666666666
M0,fp32,validation_all,R3_entropy,0.0,,1.0,0.0,36,0.0,0.6666666666666666,25.666666666666668,15.666666666666666
M0,fp32,validation_all,cost_sensitive_route,0.0,,0.0,1.0,0,1.0,0.0,12.0,2.0
M0,fp32,validation_derived,R0_always_local,0.0,,0.0,1.0,0,1.0,0.0,12.0,1.8214285714285714
M0,fp32,validation_derived,R1_always_teacher,0.0,,1.0,0.0,28,0.0,0.6071428571428571,28.642857142857142,18.464285714285715
M0,fp32,validation_derived,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,1.8214285714285714
M0,fp32,validation_derived,R3_confidence,0.0,,1.0,0.0,28,0.0,0.6071428571428571,28.642857142857142,18.464285714285715
