axis,value,method,max_scored_candidates,max_selected_evidence,max_per_source_family,evaluated_answerable_queries,latency_samples,recall_at_budget_macro,mrr,ndcg_at_budget_macro,mean_source_family_coverage,mean_exact_claim_redundancy,latency_ms_p50,latency_ms_p95,mean_scored_candidates,timeout_count
scored_candidates,8,metapath_topk,8,8,2,34,400,0.6276177576293676,0.8774509803921569,0.6938873431840913,3.3823529411764706,0.01838235294117647,0.3649,0.5699749999999999,6.425,0
scored_candidates,8,ours,8,8,2,34,400,0.5537584770750406,0.8627450980392156,0.671502083756179,3.3823529411764706,0.0,0.49960000000000004,0.8181899999999996,6.425,0
scored_candidates,16,metapath_topk,16,8,2,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.022058823529411766,0.61795,1.031235,10.8,0
scored_candidates,16,ours,16,8,2,34,400,0.5652854562877783,0.857843137254902,0.6436848331706013,3.823529411764706,0.0,0.98285,1.47194,10.8,0
scored_candidates,32,metapath_topk,32,8,2,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.025735294117647058,0.67435,1.4323899999999996,13.15,0
scored_candidates,32,ours,32,8,2,34,400,0.5794108432846823,0.857843137254902,0.6475711144784939,4.470588235294118,0.0,1.06265,1.8123499999999997,13.15,0
scored_candidates,64,metapath_topk,64,8,2,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.025735294117647058,0.61595,1.2070149999999984,13.3,0
scored_candidates,64,ours,64,8,2,34,400,0.5794108432846823,0.857843137254902,0.6475711144784939,4.470588235294118,0.0,1.0599500000000002,1.9800199999999986,13.3,0
selected_evidence,4,metapath_topk,64,4,2,34,400,0.4698151629072682,0.8627450980392156,0.6739635182746618,2.5,0.03676470588235294,0.5887,1.0867449999999985,13.3,0
selected_evidence,4,ours,64,4,2,34,400,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7717499999999999,1.4214249999999977,13.3,0
selected_evidence,8,metapath_topk,64,8,2,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.025735294117647058,0.5885499999999999,1.0276749999999995,13.3,0
selected_evidence,8,ours,64,8,2,34,400,0.5794108432846823,0.857843137254902,0.6475711144784939,4.470588235294118,0.0,1.0432,1.858924999999998,13.3,0
selected_evidence,12,metapath_topk,64,12,2,34,400,0.699968671679198,0.8627450980392156,0.7135417421615934,3.6470588235294117,0.024509803921568638,0.6053,1.0732849999999998,13.3,0
selected_evidence,12,ours,64,12,2,34,400,0.5965677060297803,0.857843137254902,0.6492981940905277,4.470588235294118,0.0,1.1298499999999998,2.310574999999999,13.3,0
source_family_cap,1,metapath_topk,64,8,1,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.025735294117647058,0.6254500000000001,1.1279199999999996,13.3,0
source_family_cap,1,ours,64,8,1,34,400,0.4354986731534719,0.8480392156862745,0.604690045004857,4.470588235294118,0.0,0.7459,1.3359799999999995,13.3,0
source_family_cap,2,metapath_topk,64,8,2,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.025735294117647058,0.6197999999999999,1.33412,13.3,0
source_family_cap,2,ours,64,8,2,34,400,0.5794108432846823,0.857843137254902,0.6475711144784939,4.470588235294118,0.0,1.0742500000000001,1.9239599999999994,13.3,0
source_family_cap,4,metapath_topk,64,8,4,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.025735294117647058,0.61695,1.3045549999999992,13.3,0
source_family_cap,4,ours,64,8,4,34,400,0.5890046808196963,0.857843137254902,0.6495180280317842,4.470588235294118,0.0,1.1702,2.388664999999999,13.3,0
source_family_cap,8,metapath_topk,64,8,8,34,400,0.646482935279375,0.8627450980392156,0.7004410879218715,3.411764705882353,0.025735294117647058,0.65395,1.4138449999999998,13.3,0
source_family_cap,8,ours,64,8,8,34,400,0.5874566932035973,0.857843137254902,0.647171129838771,4.470588235294118,0.0,1.1966,2.5198399999999936,13.3,0
