arm,seed,best_epoch,subset,pointer_precision,pointer_recall,pointer_f1,raw_zero_n,nonempty_n,decoded_empty_n,raw_cardinality_accuracy,decoded_cardinality_accuracy,support_recall,support_negative_false_accept,support_auc,support_ap,support_brier,teacher_empty_false_n,teacher_empty_n,hard_empty_false_n,hard_empty_n
C0,7042027,2,train_all,0.4276485788113695,0.4224806201550387,0.4196382428940569,0,92,16,0.7906976744186046,0.6589147286821705,0.6457831325301204,0.1436950146627566,0.8571282196233615,0.882573428553869,0.1671144578366597,5,37,5,5
C0,7042027,2,train_derived,0.3848797250859107,0.3676975945017182,0.37079037800687287,0,65,12,0.7835051546391752,0.6494845360824743,0.6381578947368421,0.13438735177865613,0.8609059704597462,0.8851626405171892,0.16570006010755978,4,32,4,4
C0,7042027,2,train_original,0.5572916666666666,0.5885416666666666,0.5677083333333333,0,27,4,0.8125,0.6875,0.6666666666666666,0.17045454545454544,0.846027846027846,0.8756289828995738,0.17107334997288445,1,5,1,1
C0,7042027,2,validation_all,0.3472222222222222,0.37499999999999994,0.35,3,24,3,0.5277777777777778,0.5277777777777778,0.7971014492753623,0.47368421052631576,0.6402237477752352,0.6601990438769882,0.23229365991163947,3,12,3,4
C0,7042027,2,validation_derived,0.3095238095238095,0.3392857142857143,0.3142857142857142,2,17,2,0.5357142857142857,0.5357142857142857,0.7959183673469388,0.4523809523809524,0.6370262390670554,0.6310481309517794,0.23409597734140045,2,11,2,3
C0,7042027,2,validation_original,0.47916666666666663,0.5,0.475,1,7,1,0.5,0.5,0.8,0.5333333333333333,0.6533333333333333,0.7378530318759022,0.22760763459426095,1,1,1,1
C0,7042028,1,train_all,0.3695090439276485,0.39793281653746765,0.37803617571059434,10,92,14,0.7364341085271318,0.6976744186046512,0.8120481927710843,0.5043988269794721,0.7621064904780412,0.8165547122211878,0.2076506766980533,0,37,0,5
C0,7042028,1,train_derived,0.3694158075601375,0.3917525773195876,0.3752577319587628,4,65,7,0.7731958762886598,0.7422680412371134,0.805921052631579,0.49407114624505927,0.765082171832744,0.8183454729688966,0.20669887138116194,0,32,0,4
C0,7042028,1,train_original,0.36979166666666663,0.41666666666666663,0.38645833333333335,6,27,7,0.625,0.5625,0.8288288288288288,0.5340909090909091,0.7534807534807535,0.8121696599215203,0.21031477499709236,0,5,0,1
C0,7042028,1,validation_all,0.125,0.16666666666666666,0.1388888888888889,18,24,18,0.4166666666666667,0.4166666666666667,1.0,0.8421052631578947,0.6712433257055682,0.6736583897638848,0.2433917959538327,0,12,0,4
C0,7042028,1,validation_derived,0.07142857142857142,0.10714285714285714,0.08333333333333333,14,17,14,0.42857142857142855,0.42857142857142855,1.0,0.8333333333333334,0.6681243926141885,0.6408532859165705,0.24543511277516258,0,11,0,3
C0,7042028,1,validation_original,0.3125,0.375,0.3333333333333333,4,7,4,0.375,0.375,1.0,0.8666666666666667,0.6833333333333333,0.7532565571759191,0.23807917221837493,0,1,0,1
C0,7042029,1,train_all,0.2687338501291989,0.27906976744186046,0.2713178294573643,19,92,44,0.6356589147286822,0.5813953488372093,0.6409638554216868,0.25513196480938416,0.7897643359361198,0.8230488557442512,0.19820390077733832,0,37,0,5
C0,7042029,1,train_derived,0.27147766323024053,0.27835051546391754,0.27250859106529207,10,65,29,0.6597938144329897,0.6185567010309279,0.6348684210526315,0.24110671936758893,0.7957145828999376,0.8263575564193105,0.19679151669499567,0,32,0,4
C0,7042029,1,train_original,0.26041666666666663,0.28125,0.2677083333333333,9,27,15,0.5625,0.46875,0.6576576576576577,0.29545454545454547,0.7726248976248976,0.8143305740942433,0.20215715672640688,0,5,0,1
C0,7042029,1,validation_all,0.12962962962962962,0.16666666666666666,0.1388888888888889,10,24,15,0.4722222222222222,0.3611111111111111,0.5652173913043478,0.38596491228070173,0.5995423340961098,0.6189157700665223,0.24345318759103202,0,12,0,4
C0,7042029,1,validation_derived,0.10119047619047618,0.1369047619047619,0.11190476190476191,7,17,11,0.5357142857142857,0.42857142857142855,0.5306122448979592,0.35714285714285715,0.598153547133139,0.5983116021771937,0.24528722035945114,0,11,0,3
C0,7042029,1,validation_original,0.22916666666666666,0.2708333333333333,0.23333333333333334,3,7,4,0.25,0.125,0.65,0.4666666666666667,0.6033333333333334,0.7013740223217856,0.23868470239314254,0,1,0,1
H512,7042027,1,train_all,0.24547803617571057,0.2609819121447028,0.24909560723514212,24,92,32,0.5968992248062015,0.6046511627906976,0.7469879518072289,0.30791788856304986,0.7973819029784829,0.8310246855061212,0.19187843766510113,0,37,0,5
H512,7042027,1,train_derived,0.24054982817869414,0.24914089347079035,0.24123711340206183,14,65,20,0.6391752577319587,0.6597938144329897,0.7467105263157895,0.2964426877470356,0.8012793842313293,0.8342378944032324,0.1909516019590157,0,32,0,4
H512,7042027,1,train_original,0.2604166666666667,0.296875,0.2729166666666667,10,27,12,0.46875,0.4375,0.7477477477477478,0.3409090909090909,0.7854217854217854,0.8215827817906719,0.1944726461489689,0,5,0,1
H512,7042027,1,validation_all,0.19907407407407407,0.25925925925925924,0.22037037037037036,10,24,10,0.5,0.5,1.0,1.0,0.6623442664632596,0.6739715327109199,0.24165057875622334,0,12,0,4
H512,7042027,1,validation_derived,0.16666666666666666,0.2202380952380952,0.18571428571428572,7,17,7,0.5357142857142857,0.5357142857142857,1.0,1.0,0.6705539358600583,0.6675734873855532,0.24249920316872653,0,11,0,3
H512,7042027,1,validation_original,0.3125,0.3958333333333333,0.3416666666666667,3,7,3,0.375,0.375,1.0,1.0,0.6433333333333333,0.7103180399751606,0.23944415528371507,0,1,0,1
H512,7042028,1,train_all,0.40956072351421186,0.4263565891472868,0.4098191214470284,12,92,12,0.7286821705426356,0.7286821705426356,0.9903614457831326,0.9120234604105572,0.7939405716708476,0.8309043534248524,0.21730289944394085,0,37,0,5
H512,7042028,1,train_derived,0.37972508591065285,0.39690721649484534,0.38075601374570445,7,65,7,0.7525773195876289,0.7525773195876289,0.9901315789473685,0.9169960474308301,0.7991210734345746,0.8352026233989944,0.21681424844642014,0,32,0,4
H512,7042028,1,train_original,0.5,0.515625,0.4979166666666667,5,27,5,0.65625,0.65625,0.990990990990991,0.8977272727272727,0.7786650286650286,0.8188205320887926,0.21867063113047056,0,5,0,1
H512,7042028,1,validation_all,0.125,0.16203703703703703,0.1361111111111111,15,24,15,0.4444444444444444,0.4444444444444444,1.0,1.0,0.6674294431731502,0.6758289070906416,0.26568385658721255,0,12,0,4
H512,7042028,1,validation_derived,0.08928571428571429,0.11904761904761904,0.0976190476190476,11,17,11,0.4642857142857143,0.4642857142857143,1.0,1.0,0.6608357628765792,0.6489335024987624,0.2688809993738639,0,11,0,3
H512,7042028,1,validation_original,0.25,0.3125,0.2708333333333333,4,7,4,0.375,0.375,1.0,1.0,0.69,0.7619833411446386,0.2573712853419191,0,1,0,1
H512,7042029,1,train_all,0.3320413436692506,0.297157622739018,0.3054263565891473,18,92,32,0.6511627906976745,0.5813953488372093,0.7325301204819277,0.2785923753665689,0.772918065222768,0.8259550978025291,0.1969838933974707,0,37,0,5
H512,7042029,1,train_derived,0.3367697594501718,0.2955326460481099,0.3075601374570447,10,65,21,0.6907216494845361,0.6082474226804123,0.7302631578947368,0.2608695652173913,0.7755356771375078,0.8278247980655195,0.19572900993875683,0,32,0,4
H512,7042029,1,train_original,0.3177083333333333,0.3020833333333333,0.2989583333333333,8,27,11,0.53125,0.5,0.7387387387387387,0.32954545454545453,0.7642301392301393,0.8205420510716461,0.2004963058924643,0,5,0,1
H512,7042029,1,validation_all,0.19444444444444445,0.20370370370370366,0.18888888888888888,10,24,10,0.4722222222222222,0.4444444444444444,0.5797101449275363,0.40350877192982454,0.6287821001779812,0.6482052347699472,0.2434980540324697,0,12,0,4
H512,7042029,1,validation_derived,0.17857142857142858,0.19047619047619047,0.1761904761904762,7,17,7,0.5357142857142857,0.5357142857142857,0.5510204081632653,0.38095238095238093,0.6316812439261419,0.6223912207277082,0.24596997234984924,0,11,0,3
H512,7042029,1,validation_original,0.25,0.25,0.23333333333333334,3,7,3,0.25,0.125,0.65,0.4666666666666667,0.6266666666666667,0.7146245374656831,0.23707106640728312,0,1,0,1
E1,7042027,2,train_all,0.44832041343669243,0.4444444444444444,0.43850129198966403,0,92,10,0.7751937984496124,0.7054263565891473,0.691566265060241,0.17008797653958943,0.8694096032222732,0.8987682943186348,0.15418489150780954,5,37,5,5
E1,7042027,2,train_derived,0.402061855670103,0.3917525773195876,0.3896907216494845,0,65,8,0.7525773195876289,0.7010309278350515,0.6842105263157895,0.1541501976284585,0.8740118577075099,0.9010100937420106,0.15219595686896303,4,32,4,4
E1,7042027,2,train_original,0.5885416666666666,0.6041666666666666,0.5864583333333333,0,27,2,0.84375,0.71875,0.7117117117117117,0.2159090909090909,0.855958230958231,0.8928265085410454,0.15975190956729507,1,5,1,1
E1,7042027,2,validation_all,0.32407407407407407,0.34259259259259256,0.31481481481481477,0,24,0,0.5277777777777778,0.5,0.6811594202898551,0.5964912280701754,0.6773455377574371,0.7112112249011953,0.224942002898551,4,12,4,4
E1,7042027,2,validation_derived,0.2857142857142857,0.29761904761904756,0.2714285714285714,0,17,0,0.5357142857142857,0.5357142857142857,0.673469387755102,0.5714285714285714,0.6822157434402333,0.6993070125940174,0.2249341637488518,3,11,3,3
E1,7042027,2,validation_original,0.4583333333333333,0.5,0.4666666666666666,0,7,0,0.5,0.375,0.7,0.6666666666666666,0.6666666666666666,0.7420819498659253,0.22496238468776905,1,1,1,1
E1,7042028,1,train_all,0.30232558139534876,0.3436692506459948,0.31653746770025837,20,92,27,0.6589147286821705,0.6356589147286822,0.8987951807228916,0.6158357771260997,0.7894039501112956,0.838187444761986,0.19964277888827003,0,37,0,5
E1,7042028,1,train_derived,0.3024054982817869,0.3402061855670103,0.3151202749140893,11,65,16,0.711340206185567,0.6907216494845361,0.9013157894736842,0.616600790513834,0.7924381110879967,0.8405438368525332,0.19928760544663646,0,32,0,4
E1,7042028,1,train_original,0.3020833333333333,0.35416666666666663,0.3208333333333333,9,27,11,0.5,0.46875,0.8918918918918919,0.6136363636363636,0.7808149058149059,0.8316678326697001,0.20063690756661307,0,5,0,1
E1,7042028,1,validation_all,0.1898148148148148,0.21759259259259256,0.19444444444444442,10,24,10,0.4722222222222222,0.4722222222222222,1.0,0.7719298245614035,0.635392829900839,0.6798180720699235,0.2412843639793067,0,12,0,4
E1,7042028,1,validation_derived,0.15476190476190474,0.17857142857142858,0.15833333333333335,7,17,7,0.5,0.5,1.0,0.7619047619047619,0.6350826044703596,0.6638725322629634,0.24238565744699447,0,11,0,3
E1,7042028,1,validation_original,0.3125,0.35416666666666663,0.3208333333333333,3,7,3,0.375,0.375,1.0,0.8,0.6333333333333333,0.7124563440302978,0.23842100096331853,0,1,0,1
E1,7042029,1,train_all,0.2506459948320413,0.25193798449612403,0.24651162790697673,34,92,39,0.6356589147286822,0.6046511627906976,0.8313253012048193,0.4780058651026393,0.7878776101473342,0.8359459404129633,0.1995562298809269,0,37,0,5
E1,7042029,1,train_derived,0.2594501718213058,0.2594501718213058,0.2542955326460481,20,65,24,0.6907216494845361,0.6494845360824743,0.8223684210526315,0.45849802371541504,0.7912159350946536,0.8380067802247064,0.1985513706683145,0,32,0,4
E1,7042029,1,train_original,0.22395833333333331,0.22916666666666663,0.22291666666666665,14,27,15,0.46875,0.46875,0.8558558558558559,0.5340909090909091,0.777948402948403,0.8300411993441437,0.2023688257674868,0,5,0,1
E1,7042029,1,validation_all,0.1111111111111111,0.10185185185185183,0.10185185185185185,14,24,14,0.4444444444444444,0.4444444444444444,0.927536231884058,0.7543859649122807,0.6025934401220442,0.6718709951981379,0.24238539282420296,0,12,0,4
E1,7042029,1,validation_derived,0.125,0.11904761904761904,0.11666666666666667,9,17,9,0.5,0.5,0.9183673469387755,0.7380952380952381,0.6068999028182702,0.6629746543269938,0.24410673920540235,0,11,0,3
E1,7042029,1,validation_original,0.0625,0.041666666666666664,0.05,5,7,5,0.25,0.25,0.95,0.8,0.5933333333333334,0.708090827682023,0.23790989223308467,0,1,0,1
